,Country(Entity),Year,Code,Rate: Schizophrenia,Rate: Depressive disorders,Rate: Anxiety disorders,Rate: Bipolar disorders,Rate: Eating disorders,DALYs: Schizophrenia,DALYs: Depressive disorders,DALYs: Anxiety disorders,DALYs: Bipolar disorder,DALYs: Eating disorders,Country,cluster
0,Afghanistan,2019,AFG,0.21777739,4.945168,4.8510346,0.6996446,0.117413975,135.63637,890.1888,457.2457,148.22464,24.71175,Afghanistan,purple
1,Albania,2019,ALB,0.2875006,2.4602032,3.8375373,0.5420086,0.1366484,185.53891,386.41925,368.115,117.631195,29.221224,Albania,pink
2,Algeria,2019,DZA,0.24913543,4.1296806,4.771976,0.7562755,0.2106033,160.01306,736.5149,458.80023,163.71942,44.83972,Algeria,dark purple
3,American Samoa,2019,ASM,0.30339977,2.659042,4.044245,0.27973238,0.12815624,192.81041,393.94205,384.18695,59.720222,27.35564,American Samoa,pink
4,Andorra,2019,AND,0.28651825,3.6072073,5.45341,0.93481266,0.5208916,183.04898,626.0286,522.7868,201.29405,111.03082,Andorra,dark purple
5,Angola,2019,AGO,0.21982822,5.7441936,3.9340954,0.5538995,0.13675597,139.54544,1046.8824,374.53,119.01723,29.0103,Angola,purple
6,Antigua and Barbuda,2019,ATG,0.28866282,3.0286796,4.3341727,0.94397974,0.27095023,185.28218,524.05865,414.30817,204.71199,57.66441,Antigua and Barbuda,dark purple
7,Argentina,2019,ARG,0.31154236,2.4075098,4.982973,1.039092,0.33220056,199.65488,429.61588,477.98843,225.17241,70.74922,Argentina,pink
8,Armenia,2019,ARM,0.28262022,2.9836516,3.1505976,0.541465,0.12600231,182.80116,492.7479,302.23453,117.56188,27.125288,Armenia,pink
9,Australia,2019,AUS,0.3886459,4.382458,5.8151646,1.1250612,1.0316882,247.17456,798.7173,555.26514,242.07814,218.70439,Australia,dark purple
10,Austria,2019,AUT,0.27674544,3.125201,6.0064344,0.90043485,0.5622296,176.50761,523.2631,575.83685,193.48299,121.656265,Austria,dark purple
11,Azerbaijan,2019,AZE,0.2827107,2.7526312,2.4775383,0.52214134,0.1438001,182.70216,445.10825,237.73558,113.528145,30.906233,Azerbaijan,pink
12,Bahamas,2019,BHS,0.284808,3.0623364,4.3490176,0.8992322,0.2916803,182.68784,531.3213,416.27075,195.08301,62.05504,Bahamas,dark purple
13,Bahrain,2019,BHR,0.27094802,4.5280886,4.937836,0.78144014,0.2906812,173.44676,823.25116,474.18597,168.85402,61.88353,Bahrain,purple
14,Bangladesh,2019,BGD,0.27618745,4.6198096,3.1809232,0.38930306,0.11529978,176.63086,822.1981,302.1657,83.65889,24.672476,Bangladesh,purple
15,Barbados,2019,BRB,0.28256494,3.1782775,4.328706,0.9328537,0.2400891,181.88324,556.71906,414.7921,202.5276,51.197838,Barbados,dark purple
16,Belarus,2019,BLR,0.2773241,3.824539,3.4831994,0.5208894,0.1341819,178.38504,668.0858,333.80008,112.823784,28.878674,Belarus,dark purple
17,Belgium,2019,BEL,0.27416807,3.5420222,5.04724,0.90031374,0.4368189,173.76334,619.5705,482.79935,193.01605,93.59866,Belgium,dark purple
18,Belize,2019,BLZ,0.27070037,3.309065,4.1840634,0.9075041,0.19617338,173.7743,583.7452,400.1483,196.79114,41.74857,Belize,dark purple
19,Benin,2019,BEN,0.21354277,4.447893,3.2288494,0.5455701,0.099465676,137.02841,772.87683,309.66983,117.99786,21.280617,Benin,purple
20,Bermuda,2019,BMU,0.30534044,3.177548,4.329229,0.9773684,0.3673627,197.17627,558.2398,416.2729,213.05368,78.34156,Bermuda,dark purple
21,Bhutan,2019,BTN,0.28670922,4.024815,3.2678254,0.39228165,0.14370656,183.30133,696.86163,309.87375,84.297745,30.64162,Bhutan,purple
22,Bolivia,2019,BOL,0.2665534,3.3994322,5.7405457,0.88712376,0.23742174,171.19608,600.0662,548.67444,192.41281,50.45538,Bolivia,dark purple
23,Bosnia and Herzegovina,2019,BIH,0.2866613,2.7624497,3.5371947,0.5489406,0.13697994,183.50687,445.30902,337.393,118.46757,29.370783,Bosnia and Herzegovina,pink
24,Botswana,2019,BWA,0.22516066,4.2572603,3.5533912,0.54089737,0.17784883,140.99132,721.8574,335.34027,115.02767,37.603317,Botswana,purple
25,Brazil,2019,BRA,0.27764335,3.8015563,7.410114,1.1118531,0.23241082,176.63608,686.55817,703.0959,239.5269,49.264797,Brazil,dark purple
26,Brunei,2019,BRN,0.3041013,1.6031243,2.856928,0.60645264,0.4247467,195.93474,260.28622,274.95563,131.40211,92.2495,Brunei,pink
27,Bulgaria,2019,BGR,0.28809503,2.6916606,3.3973696,0.46639755,0.15696159,185.39047,431.78638,325.23016,101.005745,33.562973,Bulgaria,pink
28,Burkina Faso,2019,BFA,0.20788535,4.378302,3.116734,0.5353396,0.092556745,133.73306,757.652,298.70984,115.881874,19.86498,Burkina Faso,purple
29,Burundi,2019,BDI,0.20041312,4.705153,3.6385643,0.5794055,0.071074806,126.52365,811.356,344.90887,123.836136,15.21377,Burundi,purple
30,Cambodia,2019,KHM,0.27349776,2.9500995,4.579762,0.3179395,0.08394735,175.94266,456.35535,436.24686,68.494514,18.154089,Cambodia,pink
31,Cameroon,2019,CMR,0.21315666,4.6046395,3.1999922,0.5344366,0.112020984,136.29376,803.687,306.0481,115.08518,23.95284,Cameroon,purple
32,Canada,2019,CAN,0.28864193,3.2904658,4.3206058,0.8052512,0.4285759,185.05113,556.0068,412.78735,174.40617,91.604485,Canada,dark purple
33,Cape Verde,2019,CPV,0.22955641,4.8429317,3.0854897,0.5780113,0.13719739,147.96834,861.724,297.17886,125.369354,29.379734,Cape Verde,purple
34,Central African Republic,2019,CAF,0.1913885,5.9238467,4.405564,0.5299282,0.07151896,120.39889,1078.6921,416.3389,112.88923,15.274811,Central African Republic,purple
35,Chad,2019,TCD,0.21059208,5.1334114,3.3696513,0.53775066,0.09834646,134.53276,915.29114,322.20352,115.67919,20.962124,Chad,purple
36,Chile,2019,CHL,0.3177609,3.6435125,5.4619493,0.9951639,0.35876754,203.64383,677.5856,522.145,215.13377,76.24141,Chile,dark purple
37,China,2019,CHN,0.30997753,2.7240157,3.1641822,0.18180744,0.11261842,202.42096,416.94873,306.01974,39.63712,24.539595,China,pink
